kurum_id,kurum_adi,kurum_tipi,il_kodu,il_adi,ilce_adi,adres,telefon,koordinat_lat,koordinat_lon,web_sitesi,veri_kaynagi,son_guncelleme,kaynak_url
TR-06-OZEL-023,ÖZEL BAYINDIR HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-035,ÖZEL BAYINDIR KAVAKLIDERE HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-020,ÖZEL BİLGİ HASTANESİ,Özel Genel Hastane,6,ANKARA,YENİMAHALLE,YENİMAHALLE/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-032,ÖZEL BOYLAM PSİKİYATRİ HASTANESİ,Özel Ruh Sağlığı ve Hastalıkları Hastanesi,6,ANKARA,KAHRAMANKAZAN,KAHRAMANKAZAN/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-022,ÖZEL ÇANKAYA HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-028,ÖZEL ÇANKAYA YAŞAM HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-035,ÖZEL DÜNYA GÖZ DAL HASTANESİ ANKARA,Özel Göz Hastanesi,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-022,ÖZEL ERYAMAN HASTANESİ,Özel Genel Hastane,6,ANKARA,ETİMESGUT,ETİMESGUT/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-031,ÖZEL HRS ANKARA KADIN HASTANESİ,Özel Kadın Hastalıkları ve Doğum Hastanesi,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-052,ÖZEL İNCEK FİZİK TEDAVİ VE REHABİLİTASYON  HASTANESİ,Özel Fizik Tedavi ve Rehabilitasyon Hastanesi,6,ANKARA,GÖLBAŞI,GÖLBAŞI/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-023,ÖZEL KEÇİÖREN HASTANESİ,Özel Genel Hastane,6,ANKARA,KEÇİÖREN,KEÇİÖREN/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-026,ÖZEL KORU ANKARA HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-026,ÖZEL KORU SİNCAN HASTANESİ,Özel Genel Hastane,6,ANKARA,SİNCAN,SİNCAN/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-025,ÖZEL KUDRET GÖZ HASTANESİ,Özel Göz Hastanesi,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-034,ÖZEL KUDRET INTERNATIONAL HOSPITAL,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-024,ÖZEL LİV HOSPİTAL ANKARA,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-032,ÖZEL LOKMAN HEKİM AKAY HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-034,ÖZEL LOKMAN HEKİM ANKARA HASTANESİ,Özel Genel Hastane,6,ANKARA,SİNCAN,SİNCAN/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-027,ÖZEL LOKMAN HEKİM HASTANESİ,Özel Genel Hastane,6,ANKARA,KEÇİÖREN,KEÇİÖREN/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-040,ÖZEL LÖSANTE ÇOCUK VE YETİŞKİN HASTANESİ,Özel Çocuk Hastanesi,6,ANKARA,GÖLBAŞI,GÖLBAŞI/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-044,ÖZEL MEDİCANA INTERNATİONAL ANKARA HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-022,ÖZEL MEDİSİS HASTANESİ,Özel Genel Hastane,6,ANKARA,KEÇİÖREN,KEÇİÖREN/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-030,ÖZEL MEDİSUN ÇAYYOLU HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-030,ÖZEL MEMORİAL ANKARA HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-022,ÖZEL NATOMED HASTANESİ,Özel Genel Hastane,6,ANKARA,MAMAK,MAMAK/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-023,ÖZEL ORTADOĞU HASTANESİ,Özel Genel Hastane,6,ANKARA,YENİMAHALLE,YENİMAHALLE/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-032,ÖZEL ORTADOĞU 19 MAYIS HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-026,ÖZEL POLATLI CAN HASTANESİ,Özel Genel Hastane,6,ANKARA,POLATLI,POLATLI/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-026,ÖZEL YÜZÜNCÜ YIL HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-046,VSD NUSRET KARASU GÖĞÜS HASTALIKLARI HASTANESİ,Özel Göğüs Hastalıkları Hastanesi,6,ANKARA,ALTINDAĞ,ALTINDAĞ/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-030,ANTALYA ÖZEL ANADOLU HASTANESİ,Özel Genel Hastane,7,ANTALYA,MURATPAŞA,MURATPAŞA/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-022,ÖZEL AKDENİZ HASTANESİ,Özel Genel Hastane,7,ANTALYA,MANAVGAT,MANAVGAT/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-047,ÖZEL AKDENİZ SAĞLIK VAKFI (ASV) YAŞAM HASTANESİ,Özel Genel Hastane,7,ANTALYA,MURATPAŞA,MURATPAŞA/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-027,ÖZEL AKDENİZ ŞİFA HASTANESİ,Özel Genel Hastane,7,ANTALYA,KEPEZ,KEPEZ/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-029,ÖZEL ALANYA ANADOLU HASTANESİ,Özel Genel Hastane,7,ANTALYA,ALANYA,ALANYA/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-022,ÖZEL ANADOLU HASTANESİ,Özel Genel Hastane,7,ANTALYA,KEMER,KEMER/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-028,ÖZEL ANTALYA LİKYA HASTANESİ,Özel Genel Hastane,7,ANTALYA,MURATPAŞA,MURATPAŞA/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-028,ÖZEL ANTALYA YAŞAM HASTANESİ,Özel Genel Hastane,7,ANTALYA,MURATPAŞA,MURATPAŞA/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-031,ÖZEL ASPENDOS ANADOLU HASTANESİ,Özel Genel Hastane,7,ANTALYA,SERİK,SERİK/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-020,ÖZEL BİLGİ HASTANESİ,Özel Genel Hastane,7,ANTALYA,MANAVGAT,MANAVGAT/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-032,ÖZEL DÜNYA GÖZ HASTANESİ ANTALYA,Özel Göz Hastanesi,7,ANTALYA,KEPEZ,KEPEZ/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-026,ÖZEL KEMER YAŞAM HASTANESİ,Özel Genel Hastane,7,ANTALYA,KEMER,KEMER/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-027,ÖZEL LARA ANADOLU HASTANESİ,Özel Genel Hastane,7,ANTALYA,MURATPAŞA,MURATPAŞA/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-029,ÖZEL MANAVGAT ESLEM HASTANESİ,Özel Genel Hastane,7,ANTALYA,MANAVGAT,MANAVGAT/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-029,ÖZEL MANAVGAT YAŞAM HASTANESİ,Özel Genel Hastane,7,ANTALYA,MANAVGAT,MANAVGAT/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-025,ÖZEL MEDİ YAŞAM HASTANESİ,Özel Genel Hastane,7,ANTALYA,KORKUTELİ,KORKUTELİ/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-052,ÖZEL MEDİCALPARK ANTALYA HASTANE KOMPLEKSİ (GENEL HA,Özel Genel Hastane,7,ANTALYA,MURATPAŞA,MURATPAŞA/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-022,ÖZEL MEDİKUM HASTANESİ,Özel Genel Hastane,7,ANTALYA,KUMLUCA,KUMLUCA/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-07-OZEL-030,ÖZEL MEDSTAR ANTALYA HASTANESİ,Özel Genel Hastane,7,ANTALYA,MURATPAŞA,MURATPAŞA/ANTALYA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
