kurum_id,kurum_adi,kurum_tipi,il_kodu,il_adi,ilce_adi,adres,telefon,koordinat_lat,koordinat_lon,web_sitesi,veri_kaynagi,son_guncelleme
,T.C. Sağlık Bakanlığı Çay Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Çay,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Afyonkarahisar Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı İscehisar Karamehmet Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,İscehi̇sar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Sinanpaşa Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Si̇nanpaşa,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Başmakçı İlçe Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Başmakçi,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Bayat Dr.Mete Tan İlçe Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Bayat,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çobanlar İlçe Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Çobanlar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Dazkırı İlçe Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Dazkiri,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Haydarlı İlçe Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Di̇nar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Evciler İlçe Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Evci̇ler,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Hocalar İlçe Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Hocalar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı İhsaniye İlçe Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,İhsani̇ye,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Sultandağı İlçe Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Sultandaği,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ağrı Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,4,Ağri,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Eleşkirt İlçe Devlet Hastanesi,Devlet Hastanesi,4,Ağri,Eleşki̇rt,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Tutak İlçe Devlet Hastanesi,Devlet Hastanesi,4,Ağri,Tutak,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Diyadin Devlet Hastanesi,Devlet Hastanesi,4,Ağri,Di̇yadi̇n,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Doğubayazıt Dr. Yaşar Eryılmaz Devlet Hastanesi,Devlet Hastanesi,4,Ağri,Doğubayazit,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Patnos Devlet Hastanesi,Devlet Hastanesi,4,Ağri,Patnos,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Taşlıçay İlçe Devlet Hastanesi,Devlet Hastanesi,4,Ağri,Taşliçay,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Hamur İlçe Devlet Hastanesi,Devlet Hastanesi,4,Ağri,Hamur,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Aksaray Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,68,Aksaray,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Aksaray Ortaköy Devlet Hastanesi,Devlet Hastanesi,68,Aksaray,Ortaköy,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Eskil Devlet Hastanesi,Devlet Hastanesi,68,Aksaray,Eski̇l,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gülağaç İlçe Devlet Hastanesi,Devlet Hastanesi,68,Aksaray,Gülağaç,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Sultanhanı Dr. Hüseyin Ağır İlçe Devlet Hastanesi,Devlet Hastanesi,68,Aksaray,Sultanhani,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Güzelyurt İlçe Devlet Hastanesi,Devlet Hastanesi,68,Aksaray,Güzelyurt,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ağaçören İlçe Devlet Hastanesi,Devlet Hastanesi,68,Aksaray,Ağaçören,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Sarıyahşi İlçe Devlet Hastanesi,Devlet Hastanesi,68,Aksaray,Sariyahşi̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Amasya Sabuncuoğlu Şerefeddin Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,5,Amasya,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gümüşhacıköy Devlet Hastanesi,Devlet Hastanesi,5,Amasya,Gümüşhaciköy,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Merzifon Kara Mustafa Paşa Devlet Hastanesi,Devlet Hastanesi,5,Amasya,Merzi̇fon,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Suluova Devlet Hastanesi,Devlet Hastanesi,5,Amasya,Suluova,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Taşova Devlet Hastanesi,Devlet Hastanesi,5,Amasya,Taşova,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Göynücek İlçe Devlet Hastanesi,Devlet Hastanesi,5,Amasya,Göynücek,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Hamamözü İlçe Devlet Hastanesi,Devlet Hastanesi,5,Amasya,Hamamözü,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Yenimahalle Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,6,Ankara,Yeni̇mahalle,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Tepebaşı Ağız ve Diş Sağlığı Hastanesi,Ağız ve Diş Sağlığı Merkezi,6,Ankara,Keçi̇ören,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Dr. Abdurrahman Yurtaslan Onkoloji Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,6,Ankara,Yeni̇mahalle,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Atatürk Sanatoryum Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,6,Ankara,Keçi̇ören,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,6,Ankara,Altindağ,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Dr. Sami Ulus Çocuk Sağlığı ve Hastalıkları Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,6,Ankara,Altindağ,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Etlik Zübeyde Hanım Kadın Hastalıkları Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,6,Ankara,Yeni̇mahalle,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Dışkapı Yıldırım Beyazıt Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,6,Ankara,Altindağ,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Ulucanlar Göz Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,6,Ankara,Altindağ,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Bilkent Şehir Hastanesi,Devlet Hastanesi,6,Ankara,Çankaya,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Gülhane Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,6,Ankara,Keçi̇ören,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Gaziler Fizik Tedavi ve Rehabilitasyon Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,6,Ankara,Çankaya,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Şereflikoçhisar Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Şerefli̇koçhi̇sar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kızılcahamam Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Kizilcahamam,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Nallıhan Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Nallihan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Polatlı Duatepe Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Polatli,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Haymana Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Haymana,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kahramankazan Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Kahramankazan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Elmadağ Dr. Hulusi Alataş Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Elmadağ,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Beypazarı Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Beypazari,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çubuk Halil Şıvgın Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Çubuk,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Etimesgut Şehit Sait Ertürk Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Eti̇mesgut,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara 75.Yıl Ağız ve Diş Sağlığı Hastanesi,Ağız ve Diş Sağlığı Merkezi,6,Ankara,Altindağ,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Sincan Dr. Nafiz Körez Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Si̇ncan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Akyurt Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Akyurt,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ayaş Şehit Mehmet Çifci Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Ayaş,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Gazi Mustafa Kemal Mesleki ve Çevresel Hastalıklar Hastanesi,Devlet Hastanesi,6,Ankara,Yeni̇mahalle,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gölbaşı Şehit Ahmet Özsoy Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Gölbaşi,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Pursaklar Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Pursaklar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Ceza İnfaz Kurumları Kampüs Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Si̇ncan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Meclis Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Çankaya,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara 29 Mayıs Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Çankaya,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Beytepe Şehit Murat Erdi Eker Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Çankaya,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Mamak Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Mamak,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Osmanlı Ağız ve Diş Sağlığı Hastanesi,Ağız ve Diş Sağlığı Merkezi,6,Ankara,Keçi̇ören,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ankara Etlik Şehir Hastanesi,Devlet Hastanesi,6,Ankara,Yeni̇mahalle,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T..C. Sağlık Bakanlığı Ankara Beştepe Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Yeni̇mahalle,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kalecik İlçe Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Kaleci̇k,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Güdül İlçe Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Güdül,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Bala İlçe Devlet Hastanesi,Devlet Hastanesi,6,Ankara,Bala,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Alanya Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,7,Antalya,Alanya,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Antalya Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,7,Antalya,Muratpaşa,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Serik Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Seri̇k,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kumluca Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Kumluca,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Manavgat Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Manavgat,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kaş Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Kaş,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kemer Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Kemer,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Korkuteli Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Korkuteli̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Elmalı Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Elmali,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Finike Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Fi̇ni̇ke,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gazipaşa Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Gazi̇paşa,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Akseki İlçe Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Akseki̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Demre Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Demre,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Antalya Ağız ve Diş Sağlığı Hastanesi,Ağız ve Diş Sağlığı Merkezi,7,Antalya,Kepez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Antalya Atatürk Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Muratpaşa,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gündoğmuş İlçe Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Gündoğmuş,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kepez Devlet Hastanesi,Devlet Hastanesi,7,Antalya,Kepez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Göle Devlet Hastanesi,Devlet Hastanesi,75,Ardahan,Göle,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ardahan Devlet Hastanesi,Devlet Hastanesi,75,Ardahan,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Posof İlçe Devlet Hastanesi,Devlet Hastanesi,75,Ardahan,Posof,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çıldır İlçe Devlet Hastanesi,Devlet Hastanesi,75,Ardahan,Çildir,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Şavşat Devlet Hastanesi,Devlet Hastanesi,8,Artvi̇n,Şavşat,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Arhavi Devlet Hastanesi,Devlet Hastanesi,8,Artvi̇n,Arhavi̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Hopa Devlet Hastanesi,Devlet Hastanesi,8,Artvi̇n,Hopa,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Artvin Devlet Hastanesi,Devlet Hastanesi,8,Artvi̇n,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Yusufeli Devlet Hastanesi,Devlet Hastanesi,8,Artvi̇n,Yusufeli̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
